2024-01-15 23:47:42,820 - INFO - Sample 1004 | Best value: -7.07 |
2024-01-15 23:47:43,222 - INFO - Sample 1008 | Best value: -7.07 |
2024-01-15 23:47:43,619 - INFO - Sample 1012 | Best value: -7.07 |
2024-01-15 23:47:44,008 - INFO - Sample 1016 | Best value: -7.07 |
2024-01-15 23:47:44,421 - INFO - Sample 1020 | Best value: -7.07 |
2024-01-15 23:47:44,791 - INFO - Sample 1024 | Best value: -7.07 |
2024-01-15 23:47:45,184 - INFO - Sample 1028 | Best value: -7.07 |
2024-01-15 23:47:45,580 - INFO - Sample 1032 | Best value: -7.07 |
2024-01-15 23:47:45,981 - INFO - Sample 1036 | Best value: -7.07 |
2024-01-15 23:47:46,353 - INFO - Sample 1040 | Best value: -7.07 |
2024-01-15 23:47:46,702 - INFO - Sample 1044 | Best value: -7.07 |
2024-01-15 23:47:47,083 - INFO - Sample 1048 | Best value: -7.07 |
2024-01-15 23:47:47,457 - INFO - Sample 1052 | Best value: -7.07 |
2024-01-15 23:47:47,849 - INFO - Sample 1056 | Best value: -7.07 |
2024-01-15 23:47:48,257 - INFO - Sample 1060 | Best value: -7.07 |
2024-01-15 23:47:48,684 - INFO - Sample 1064 | Best value: -7.07 |
2024-01-15 23:47:49,103 - INFO - Sample 1068 | Best value: -7.07 |
2024-01-15 23:47:49,540 - INFO - Sample 1072 | Best value: -7.07 |
2024-01-15 23:47:49,907 - INFO - Sample 1076 | Best value: -7.07 |
2024-01-15 23:47:50,308 - INFO - Sample 1080 | Best value: -7.07 |
2024-01-15 23:47:50,721 - INFO - Sample 1084 | Best value: -7.07 |
2024-01-15 23:47:51,137 - INFO - Sample 1088 | Best value: -7.07 |
2024-01-15 23:47:51,550 - INFO - Sample 1092 | Best value: -7.07 |
2024-01-15 23:47:51,942 - INFO - Sample 1096 | Best value: -7.07 |
2024-01-15 23:47:52,334 - INFO - Sample 1100 | Best value: -7.07 |
2024-01-15 23:47:52,773 - INFO - Sample 1104 | Best value: -7.07 |
2024-01-15 23:47:53,203 - INFO - Sample 1108 | Best value: -7.07 |
2024-01-15 23:47:53,602 - INFO - Sample 1112 | Best value: -7.07 |
2024-01-15 23:47:54,041 - INFO - Sample 1116 | Best value: -7.07 |
2024-01-15 23:47:54,459 - INFO - Sample 1120 | Best value: -7.07 |
2024-01-15 23:47:54,857 - INFO - Sample 1124 | Best value: -7.07 |
2024-01-15 23:47:55,279 - INFO - Sample 1128 | Best value: -7.07 |
2024-01-15 23:47:55,719 - INFO - Sample 1132 | Best value: -7.07 |
2024-01-15 23:47:56,150 - INFO - Sample 1136 | Best value: -7.07 |
2024-01-15 23:47:56,582 - INFO - Sample 1140 | Best value: -7.07 |
2024-01-15 23:47:56,997 - INFO - Sample 1144 | Best value: -7.07 |
2024-01-15 23:47:57,459 - INFO - Sample 1148 | Best value: -7.07 |
2024-01-15 23:47:57,924 - INFO - Sample 1152 | Best value: -7.07 |
2024-01-15 23:47:58,375 - INFO - Sample 1156 | Best value: -7.07 |
2024-01-15 23:47:58,796 - INFO - Sample 1160 | Best value: -7.07 |
2024-01-15 23:47:59,219 - INFO - Sample 1164 | Best value: -7.07 |
2024-01-15 23:47:59,672 - INFO - Sample 1168 | Best value: -7.07 |
2024-01-15 23:48:00,114 - INFO - Sample 1172 | Best value: -7.07 |
2024-01-15 23:48:00,577 - INFO - Sample 1176 | Best value: -7.07 |
2024-01-15 23:48:01,010 - INFO - Sample 1180 | Best value: -7.07 |
2024-01-15 23:48:01,462 - INFO - Sample 1184 | Best value: -7.07 |
2024-01-15 23:48:01,912 - INFO - Sample 1188 | Best value: -7.07 |
2024-01-15 23:48:02,352 - INFO - Sample 1192 | Best value: -7.07 |
2024-01-15 23:48:02,773 - INFO - Sample 1196 | Best value: -7.07 |
2024-01-15 23:48:03,213 - INFO - Sample 1200 | Best value: -7.07 |
2024-01-15 23:48:03,624 - INFO - Sample 1204 | Best value: -7.07 |
2024-01-15 23:48:04,067 - INFO - Sample 1208 | Best value: -7.07 |
2024-01-15 23:48:04,557 - INFO - Sample 1212 | Best value: -7.07 |
2024-01-15 23:48:04,991 - INFO - Sample 1216 | Best value: -7.07 |
2024-01-15 23:48:05,460 - INFO - Sample 1220 | Best value: -7.07 |
2024-01-15 23:48:05,962 - INFO - Sample 1224 | Best value: -7.07 |
2024-01-15 23:48:06,411 - INFO - Sample 1228 | Best value: -7.07 |
2024-01-15 23:48:06,920 - INFO - Sample 1232 | Best value: -7.07 |
2024-01-15 23:48:07,408 - INFO - Sample 1236 | Best value: -7.07 |
2024-01-15 23:48:07,901 - INFO - Sample 1240 | Best value: -7.07 |
2024-01-15 23:48:08,402 - INFO - Sample 1244 | Best value: -7.07 |
2024-01-15 23:48:08,873 - INFO - Sample 1248 | Best value: -7.07 |
2024-01-15 23:48:09,332 - INFO - Sample 1252 | Best value: -7.07 |
2024-01-15 23:48:09,791 - INFO - Sample 1256 | Best value: -7.07 |
2024-01-15 23:48:10,281 - INFO - Sample 1260 | Best value: -7.07 |
2024-01-15 23:48:10,775 - INFO - Sample 1264 | Best value: -7.07 |
2024-01-15 23:48:11,293 - INFO - Sample 1268 | Best value: -7.07 |
2024-01-15 23:48:11,795 - INFO - Sample 1272 | Best value: -7.07 |
2024-01-15 23:48:12,298 - INFO - Sample 1276 | Best value: -7.07 |
2024-01-15 23:48:12,773 - INFO - Sample 1280 | Best value: -7.07 |
2024-01-15 23:48:13,248 - INFO - Sample 1284 | Best value: -7.07 |
2024-01-15 23:48:13,741 - INFO - Sample 1288 | Best value: -7.07 |
2024-01-15 23:48:14,227 - INFO - Sample 1292 | Best value: -7.07 |
2024-01-15 23:48:14,758 - INFO - Sample 1296 | Best value: -7.07 |
2024-01-15 23:48:15,235 - INFO - Sample 1300 | Best value: -7.07 |
2024-01-15 23:48:15,753 - INFO - Sample 1304 | Best value: -7.07 |
2024-01-15 23:48:16,259 - INFO - Sample 1308 | Best value: -7.07 |
2024-01-15 23:48:16,749 - INFO - Sample 1312 | Best value: -7.07 |
2024-01-15 23:48:17,222 - INFO - Sample 1316 | Best value: -7.07 |
2024-01-15 23:48:17,757 - INFO - Sample 1320 | Best value: -7.07 |
2024-01-15 23:48:18,261 - INFO - Sample 1324 | Best value: -7.07 |
2024-01-15 23:48:18,788 - INFO - Sample 1328 | Best value: -7.07 |
2024-01-15 23:48:19,268 - INFO - Sample 1332 | Best value: -7.07 |
2024-01-15 23:48:19,768 - INFO - Sample 1336 | Best value: -7.07 |
2024-01-15 23:48:20,296 - INFO - Sample 1340 | Best value: -7.07 |
2024-01-15 23:48:20,825 - INFO - Sample 1344 | Best value: -7.07 |
2024-01-15 23:48:21,303 - INFO - Sample 1348 | Best value: -7.07 |
2024-01-15 23:48:21,847 - INFO - Sample 1352 | Best value: -7.07 |
2024-01-15 23:48:22,356 - INFO - Sample 1356 | Best value: -7.07 |
2024-01-15 23:48:22,891 - INFO - Sample 1360 | Best value: -7.07 |
2024-01-15 23:48:23,402 - INFO - Sample 1364 | Best value: -7.07 |
2024-01-15 23:48:23,973 - INFO - Sample 1368 | Best value: -7.07 |
2024-01-15 23:48:24,495 - INFO - Sample 1372 | Best value: -7.07 |
