2024-01-12 21:40:23,290 - INFO - [Restart 0] 268) Best value: -4.49e-03 | TR length: 1.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:40:23,771 - INFO - [Restart 0] 272) Best value: -3.97e-03 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:40:24,243 - INFO - [Restart 0] 276) Best value: -3.97e-03 | TR length: 1.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:40:24,742 - INFO - [Restart 0] 280) Best value: -3.97e-03 | TR length: 1.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:40:25,196 - INFO - [Restart 0] 284) Best value: -3.97e-03 | TR length: 1.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:40:25,673 - INFO - [Restart 0] 288) Best value: -3.97e-03 | TR length: 1.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:40:26,162 - INFO - [Restart 0] 292) Best value: -3.97e-03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:40:26,663 - INFO - [Restart 0] 296) Best value: -2.26e-03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:40:27,144 - INFO - [Restart 0] 300) Best value: -1.84e-03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:40:27,670 - INFO - [Restart 0] 304) Best value: -1.51e-03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:40:28,192 - INFO - [Restart 0] 308) Best value: -1.29e-03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 4/10
2024-01-12 21:40:28,716 - INFO - [Restart 0] 312) Best value: -1.29e-03 | TR length: 5.00e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:40:29,212 - INFO - [Restart 0] 316) Best value: -1.29e-03 | TR length: 5.00e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:40:29,747 - INFO - [Restart 0] 320) Best value: -1.07e-03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:40:30,233 - INFO - [Restart 0] 324) Best value: -1.07e-03 | TR length: 5.00e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:40:30,777 - INFO - [Restart 0] 328) Best value: -1.07e-03 | TR length: 5.00e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:40:31,322 - INFO - [Restart 0] 332) Best value: -1.07e-03 | TR length: 5.00e-02 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:40:31,871 - INFO - [Restart 0] 336) Best value: -1.07e-03 | TR length: 5.00e-02 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:40:32,411 - INFO - [Restart 0] 340) Best value: -1.07e-03 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:40:32,974 - INFO - [Restart 0] 344) Best value: -7.02e-04 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:40:33,648 - INFO - [Restart 0] 348) Best value: -5.03e-04 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:40:34,230 - INFO - [Restart 0] 352) Best value: -4.02e-04 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:40:34,717 - INFO - [Restart 0] 356) Best value: -3.81e-04 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 4/10
2024-01-12 21:40:35,264 - INFO - [Restart 0] 360) Best value: -2.82e-04 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 5/10
2024-01-12 21:40:35,830 - INFO - [Restart 0] 364) Best value: -2.82e-04 | TR length: 2.50e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:40:36,398 - INFO - [Restart 0] 368) Best value: -2.82e-04 | TR length: 2.50e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:40:36,889 - INFO - [Restart 0] 372) Best value: -2.82e-04 | TR length: 2.50e-02 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:40:37,450 - INFO - [Restart 0] 376) Best value: -2.82e-04 | TR length: 2.50e-02 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:40:37,958 - INFO - [Restart 0] 380) Best value: -2.82e-04 | TR length: 1.25e-02 | num. restarts: 0/5 | num. successes: 0/10
